clade	lineage
23B (XBB.1.16)	XBB.1.16.7
23B (XBB.1.16)	XBB.1.16.8
23B (XBB.1.16)	XBB.1.16.9
23B (XBB.1.16)	XDA
23B (XBB.1.16)	XDA.1
23B (XBB.1.16)	XDB
23B (XBB.1.16)	XDJ
23B (XBB.1.16)	XDM
23C (CH.1.1)	CH.1.1
23C (CH.1.1)	CH.1.1.1
23C (CH.1.1)	CH.1.1.10
23C (CH.1.1)	CH.1.1.11
23C (CH.1.1)	CH.1.1.12
23C (CH.1.1)	CH.1.1.13
23C (CH.1.1)	CH.1.1.14
23C (CH.1.1)	CH.1.1.15
23C (CH.1.1)	CH.1.1.16
23C (CH.1.1)	CH.1.1.17
23C (CH.1.1)	CH.1.1.18
23C (CH.1.1)	CH.1.1.19
23C (CH.1.1)	CH.1.1.2
23C (CH.1.1)	CH.1.1.20
23C (CH.1.1)	CH.1.1.21
23C (CH.1.1)	CH.1.1.22
23C (CH.1.1)	CH.1.1.23
23C (CH.1.1)	CH.1.1.24
23C (CH.1.1)	CH.1.1.25
23C (CH.1.1)	CH.1.1.26
23C (CH.1.1)	CH.1.1.27
23C (CH.1.1)	CH.1.1.28
23C (CH.1.1)	CH.1.1.29
23C (CH.1.1)	CH.1.1.3
23C (CH.1.1)	CH.1.1.30
23C (CH.1.1)	CH.1.1.32
23C (CH.1.1)	CH.1.1.4
23C (CH.1.1)	CH.1.1.5
23C (CH.1.1)	CH.1.1.6
23C (CH.1.1)	CH.1.1.7
23C (CH.1.1)	CH.1.1.8
23C (CH.1.1)	CH.1.1.9
23C (CH.1.1)	DV.1
23C (CH.1.1)	DV.1.1
23C (CH.1.1)	DV.2
23C (CH.1.1)	DV.3
23C (CH.1.1)	DV.3.1
23C (CH.1.1)	DV.4
23C (CH.1.1)	DV.5
23C (CH.1.1)	DV.6
23C (CH.1.1)	DV.6.1
23C (CH.1.1)	DV.6.2
23C (CH.1.1)	DV.7
23C (CH.1.1)	DV.7.1
23C (CH.1.1)	DV.7.1.1
23C (CH.1.1)	DV.7.1.2
23C (CH.1.1)	DV.7.1.3
23C (CH.1.1)	DV.7.1.4
23C (CH.1.1)	DV.7.1.5
23C (CH.1.1)	DV.7.1.6
23C (CH.1.1)	DV.7.1.7
23C (CH.1.1)	DV.7.2
23C (CH.1.1)	DV.8
23C (CH.1.1)	FJ.1
23C (CH.1.1)	FK.1
23C (CH.1.1)	FK.1.1
23C (CH.1.1)	FK.1.1.2
23C (CH.1.1)	FK.1.2
23C (CH.1.1)	FK.1.2.1
23C (CH.1.1)	FK.1.2.2
23C (CH.1.1)	FK.1.3
23C (CH.1.1)	FK.1.3.2
23C (CH.1.1)	FK.1.4.1
23C (CH.1.1)	FK.1.5
23C (CH.1.1)	FS.1
23C (CH.1.1)	GP.1
23C (CH.1.1)	GP.2
23C (CH.1.1)	GP.3
23C (CH.1.1)	GQ.1
23C (CH.1.1)	JL.1
23C (CH.1.1)	JP.1.1
23C (CH.1.1)	JV.1
23C (CH.1.1)	JV.2
23C (CH.1.1)	KG.1
23C (CH.1.1)	KG.2
23D (XBB.1.9)	EG.1
23D (XBB.1.9)	EG.10
23D (XBB.1.9)	EG.10.1
23D (XBB.1.9)	EG.10.1.1
23D (XBB.1.9)	EG.1.1
23D (XBB.1.9)	EG.11
23D (XBB.1.9)	EG.1.2
23D (XBB.1.9)	EG.12
23D (XBB.1.9)	EG.1.3
23D (XBB.1.9)	EG.13
23D (XBB.1.9)	EG.1.4
23D (XBB.1.9)	EG.14
23D (XBB.1.9)	EG.1.4.1
23D (XBB.1.9)	EG.1.5
23D (XBB.1.9)	EG.1.6
23D (XBB.1.9)	EG.1.7
23D (XBB.1.9)	EG.1.8
23D (XBB.1.9)	EG.2
23D (XBB.1.9)	EG.2.2
23D (XBB.1.9)	EG.2.4
23D (XBB.1.9)	EG.2.5
23D (XBB.1.9)	EG.3
23D (XBB.1.9)	EG.4
23D (XBB.1.9)	EG.4.1
23D (XBB.1.9)	EG.4.2
23D (XBB.1.9)	EG.4.3
23D (XBB.1.9)	EG.4.4
23D (XBB.1.9)	EG.4.5
23D (XBB.1.9)	EG.5
23D (XBB.1.9)	EG.5.2
23D (XBB.1.9)	EG.5.2.1
23D (XBB.1.9)	EG.5.2.2
23D (XBB.1.9)	EG.5.2.3
23D (XBB.1.9)	EG.5.2.4
23D (XBB.1.9)	EG.6
23D (XBB.1.9)	EG.6.1
23D (XBB.1.9)	EG.6.1.1
23D (XBB.1.9)	EG.6.1.2
23D (XBB.1.9)	EG.7
23D (XBB.1.9)	EG.8
23D (XBB.1.9)	EG.9
23D (XBB.1.9)	EG.9.1
23D (XBB.1.9)	FL.1
23D (XBB.1.9)	FL.10
23D (XBB.1.9)	FL.10.1
23D (XBB.1.9)	FL.10.2
23D (XBB.1.9)	FL.10.3
23D (XBB.1.9)	FL.1.1
23D (XBB.1.9)	FL.11
23D (XBB.1.9)	FL.1.1.1
23D (XBB.1.9)	FL.1.2
23D (XBB.1.9)	FL.12
23D (XBB.1.9)	FL.1.3
23D (XBB.1.9)	FL.13
23D (XBB.1.9)	FL.13.1
23D (XBB.1.9)	FL.13.2
23D (XBB.1.9)	FL.13.2.1
23D (XBB.1.9)	FL.13.3
23D (XBB.1.9)	FL.13.3.1
23D (XBB.1.9)	FL.13.4
23D (XBB.1.9)	FL.13.4.1
23D (XBB.1.9)	FL.13.5
23D (XBB.1.9)	FL.1.4
23D (XBB.1.9)	FL.14
23D (XBB.1.9)	FL.1.5
23D (XBB.1.9)	FL.15
23D (XBB.1.9)	FL.1.5.1
23D (XBB.1.9)	FL.15.1
23D (XBB.1.9)	FL.15.1.1
23D (XBB.1.9)	FL.1.5.2
23D (XBB.1.9)	FL.15.2
23D (XBB.1.9)	FL.15.3
23D (XBB.1.9)	FL.15.4
23D (XBB.1.9)	FL.1.6
23D (XBB.1.9)	FL.16
23D (XBB.1.9)	FL.17
23D (XBB.1.9)	FL.17.1
23D (XBB.1.9)	FL.17.2
23D (XBB.1.9)	FL.1.8
23D (XBB.1.9)	FL.18
23D (XBB.1.9)	FL.18.1
23D (XBB.1.9)	FL.18.1.1
23D (XBB.1.9)	FL.19
23D (XBB.1.9)	FL.19.1
23D (XBB.1.9)	FL.2
23D (XBB.1.9)	FL.20
23D (XBB.1.9)	FL.20.1
23D (XBB.1.9)	FL.20.2
23D (XBB.1.9)	FL.2.1
23D (XBB.1.9)	FL.21
23D (XBB.1.9)	FL.21.1
23D (XBB.1.9)	FL.21.2
23D (XBB.1.9)	FL.2.2
23D (XBB.1.9)	FL.22
23D (XBB.1.9)	FL.2.2.1
23D (XBB.1.9)	FL.2.3
23D (XBB.1.9)	FL.23
23D (XBB.1.9)	FL.2.3.1
23D (XBB.1.9)	FL.23.1
23D (XBB.1.9)	FL.23.2.1
23D (XBB.1.9)	FL.2.4
23D (XBB.1.9)	FL.24
23D (XBB.1.9)	FL.24.1
23D (XBB.1.9)	FL.2.5
23D (XBB.1.9)	FL.25
23D (XBB.1.9)	FL.2.6
23D (XBB.1.9)	FL.26
23D (XBB.1.9)	FL.26.1
23D (XBB.1.9)	FL.2.7
23D (XBB.1.9)	FL.27
23D (XBB.1.9)	FL.2.7.1
23D (XBB.1.9)	FL.28
23D (XBB.1.9)	FL.29
23D (XBB.1.9)	FL.3
23D (XBB.1.9)	FL.30.1
23D (XBB.1.9)	FL.3.1
23D (XBB.1.9)	FL.31
23D (XBB.1.9)	FL.31.1
23D (XBB.1.9)	FL.3.2
23D (XBB.1.9)	FL.32
23D (XBB.1.9)	FL.32.1
23D (XBB.1.9)	FL.3.3
23D (XBB.1.9)	FL.33
23D (XBB.1.9)	FL.33.1
23D (XBB.1.9)	FL.3.4
23D (XBB.1.9)	FL.34
23D (XBB.1.9)	FL.35
23D (XBB.1.9)	FL.35.1
23D (XBB.1.9)	FL.36
23D (XBB.1.9)	FL.37
23D (XBB.1.9)	FL.38
23D (XBB.1.9)	FL.39
23D (XBB.1.9)	FL.39.1
23D (XBB.1.9)	FL.4
23D (XBB.1.9)	FL.40
23D (XBB.1.9)	FL.4.1
23D (XBB.1.9)	FL.4.10
23D (XBB.1.9)	FL.4.1.1
23D (XBB.1.9)	FL.4.11
23D (XBB.1.9)	FL.4.2
23D (XBB.1.9)	FL.4.3
23D (XBB.1.9)	FL.4.4
23D (XBB.1.9)	FL.4.5
23D (XBB.1.9)	FL.4.6
23D (XBB.1.9)	FL.4.7
23D (XBB.1.9)	FL.4.8
23D (XBB.1.9)	FL.4.9
23D (XBB.1.9)	FL.5
23D (XBB.1.9)	FL.5.1
23D (XBB.1.9)	FL.6
23D (XBB.1.9)	FL.7
23D (XBB.1.9)	FL.8
23D (XBB.1.9)	FL.9
23D (XBB.1.9)	GD.1
23D (XBB.1.9)	GD.2
23D (XBB.1.9)	HL.1
23D (XBB.1.9)	HL.2
23D (XBB.1.9)	HN.1
23D (XBB.1.9)	HN.2
23D (XBB.1.9)	HN.2.1
23D (XBB.1.9)	HN.3
23D (XBB.1.9)	HN.3.1
23D (XBB.1.9)	HN.4
23D (XBB.1.9)	HN.4.1
23D (XBB.1.9)	HN.4.1.1
23D (XBB.1.9)	HN.4.2
23D (XBB.1.9)	HN.5
23D (XBB.1.9)	HN.6
23D (XBB.1.9)	HN.7
23D (XBB.1.9)	HN.8
23D (XBB.1.9)	KC.1
23D (XBB.1.9)	KC.1.1
23D (XBB.1.9)	KF.1
23D (XBB.1.9)	KF.2
23D (XBB.1.9)	XBB.1.42
23D (XBB.1.9)	XBB.1.42.1
23D (XBB.1.9)	XBB.1.42.2
23D (XBB.1.9)	XBB.1.9
23D (XBB.1.9)	XBB.1.9.1
23D (XBB.1.9)	XBB.1.9.2
23D (XBB.1.9)	XBB.1.9.3
23D (XBB.1.9)	XBB.1.9.4
23D (XBB.1.9)	XBB.1.9.5
23D (XBB.1.9)	XBB.1.9.6
23D (XBB.1.9)	XBB.1.9.7
23D (XBB.1.9)	XCY
23D (XBB.1.9)	XCZ
23D (XBB.1.9)	XDG
23E (XBB.2.3)	GE.1
23E (XBB.2.3)	GE.1.1
23E (XBB.2.3)	GE.1.2
23E (XBB.2.3)	GE.1.2.1
23E (XBB.2.3)	GE.1.3
23E (XBB.2.3)	GE.1.4
23E (XBB.2.3)	GE.1.5
23E (XBB.2.3)	GE.1.6
23E (XBB.2.3)	GJ.1
23E (XBB.2.3)	GJ.1.1
23E (XBB.2.3)	GJ.1.2
23E (XBB.2.3)	GJ.1.2.1
23E (XBB.2.3)	GJ.1.2.2
23E (XBB.2.3)	GJ.1.2.3
23E (XBB.2.3)	GJ.1.2.4
23E (XBB.2.3)	GJ.1.2.5
23E (XBB.2.3)	GJ.1.2.6
23E (XBB.2.3)	GJ.1.2.7
23E (XBB.2.3)	GJ.1.2.8
23E (XBB.2.3)	GJ.2
23E (XBB.2.3)	GJ.3
23E (XBB.2.3)	GJ.4
23E (XBB.2.3)	GJ.5
23E (XBB.2.3)	GJ.5.1
23E (XBB.2.3)	GJ.6
23E (XBB.2.3)	GM.1
23E (XBB.2.3)	GM.2
23E (XBB.2.3)	GM.3
23E (XBB.2.3)	GM.3.1
23E (XBB.2.3)	GS.1
23E (XBB.2.3)	GS.2
23E (XBB.2.3)	GS.3
23E (XBB.2.3)	GS.4
23E (XBB.2.3)	GS.4.1
23E (XBB.2.3)	GS.4.1.1
23E (XBB.2.3)	GS.5
23E (XBB.2.3)	GS.6
23E (XBB.2.3)	GS.7
23E (XBB.2.3)	GS.7.1
23E (XBB.2.3)	GS.8
23E (XBB.2.3)	GZ.1
23E (XBB.2.3)	HG.1
23E (XBB.2.3)	HG.1.1
23E (XBB.2.3)	HG.2
23E (XBB.2.3)	HG.3
23E (XBB.2.3)	HH.1
23E (XBB.2.3)	HH.1.1
23E (XBB.2.3)	HH.2
23E (XBB.2.3)	HH.2.1
23E (XBB.2.3)	HH.3
23E (XBB.2.3)	HH.4
23E (XBB.2.3)	HH.5
23E (XBB.2.3)	HH.6
23E (XBB.2.3)	HH.7
23E (XBB.2.3)	HH.8
23E (XBB.2.3)	HH.8.1
23E (XBB.2.3)	JA.1
23E (XBB.2.3)	JE.1
23E (XBB.2.3)	JE.1.1
23E (XBB.2.3)	JE.1.1.1
23E (XBB.2.3)	JS.1
23E (XBB.2.3)	JS.2
23E (XBB.2.3)	JU.1
23E (XBB.2.3)	JY.1
23E (XBB.2.3)	JY.1.1
23E (XBB.2.3)	KH.1
23E (XBB.2.3)	XBB.2.3
23E (XBB.2.3)	XBB.2.3.1
23E (XBB.2.3)	XBB.2.3.10
23E (XBB.2.3)	XBB.2.3.11
23E (XBB.2.3)	XBB.2.3.12
23E (XBB.2.3)	XBB.2.3.13
23E (XBB.2.3)	XBB.2.3.14
23E (XBB.2.3)	XBB.2.3.15
23E (XBB.2.3)	XBB.2.3.16
23E (XBB.2.3)	XBB.2.3.17
23E (XBB.2.3)	XBB.2.3.18
23E (XBB.2.3)	XBB.2.3.19
23E (XBB.2.3)	XBB.2.3.2
23E (XBB.2.3)	XBB.2.3.20
23E (XBB.2.3)	XBB.2.3.21
23E (XBB.2.3)	XBB.2.3.22
23E (XBB.2.3)	XBB.2.3.3
23E (XBB.2.3)	XBB.2.3.4
23E (XBB.2.3)	XBB.2.3.5
23E (XBB.2.3)	XBB.2.3.6
23E (XBB.2.3)	XBB.2.3.7
23E (XBB.2.3)	XBB.2.3.8
23E (XBB.2.3)	XBB.2.3.9
23E (XBB.2.3)	XCJ
23E (XBB.2.3)	XCQ
23E (XBB.2.3)	XCW
23F (EG.5.1)	EG.5.1
23F (EG.5.1)	EG.5.1.1
23F (EG.5.1)	EG.5.1.10
23F (EG.5.1)	EG.5.1.11
23F (EG.5.1)	EG.5.1.12
23F (EG.5.1)	EG.5.1.13
23F (EG.5.1)	EG.5.1.14
23F (EG.5.1)	EG.5.1.15
23F (EG.5.1)	EG.5.1.16
23F (EG.5.1)	EG.5.1.17
23F (EG.5.1)	EG.5.1.18
23F (EG.5.1)	EG.5.1.19
23F (EG.5.1)	EG.5.1.2
23F (EG.5.1)	EG.5.1.3
23F (EG.5.1)	EG.5.1.4
23F (EG.5.1)	EG.5.1.5
23F (EG.5.1)	EG.5.1.6
23F (EG.5.1)	EG.5.1.7
23F (EG.5.1)	EG.5.1.8
23F (EG.5.1)	EG.5.1.9
23F (EG.5.1)	HK.1
23F (EG.5.1)	HK.11
23F (EG.5.1)	HK.11.1
23F (EG.5.1)	HK.1.2
23F (EG.5.1)	HK.12
23F (EG.5.1)	HK.13
23F (EG.5.1)	HK.13.1
23F (EG.5.1)	HK.13.2
23F (EG.5.1)	HK.14
23F (EG.5.1)	HK.15
23F (EG.5.1)	HK.16
23F (EG.5.1)	HK.17
23F (EG.5.1)	HK.18
23F (EG.5.1)	HK.19
23F (EG.5.1)	HK.2
23F (EG.5.1)	HK.20
23F (EG.5.1)	HK.20.1
23F (EG.5.1)	HK.2.1
23F (EG.5.1)	HK.21
23F (EG.5.1)	HK.22
23F (EG.5.1)	HK.23
23F (EG.5.1)	HK.23.1
23F (EG.5.1)	HK.23.1.1
23F (EG.5.1)	HK.24
23F (EG.5.1)	HK.24.1
23F (EG.5.1)	HK.25
23F (EG.5.1)	HK.27
23F (EG.5.1)	HK.27.1
23F (EG.5.1)	HK.27.1.1
23F (EG.5.1)	HK.28
23F (EG.5.1)	HK.29
23F (EG.5.1)	HK.30
23F (EG.5.1)	HK.30_27507T
23F (EG.5.1)	HK.31
23F (EG.5.1)	HK.32
23F (EG.5.1)	HK.33
23F (EG.5.1)	HK.34
23F (EG.5.1)	HK.34.1
23F (EG.5.1)	HK.4
23F (EG.5.1)	HK.5
23F (EG.5.1)	HK.6
23F (EG.5.1)	HK.7
23F (EG.5.1)	HK.8
23F (EG.5.1)	HK.8.1
23F (EG.5.1)	HK.9
23F (EG.5.1)	HV.1
23F (EG.5.1)	HV.1.1
23F (EG.5.1)	HV.1.10
23F (EG.5.1)	HV.1.11
23F (EG.5.1)	HV.1.2
23F (EG.5.1)	HV.1.3
23F (EG.5.1)	HV.1.4
23F (EG.5.1)	HV.1.5
23F (EG.5.1)	HV.1.6
23F (EG.5.1)	HV.1.6.1
23F (EG.5.1)	HV.1.7
23F (EG.5.1)	HV.1.8
23F (EG.5.1)	HV.1.9
23F (EG.5.1)	HV.2
23F (EG.5.1)	JG.1
23F (EG.5.1)	JG.2
23F (EG.5.1)	JG.3
23F (EG.5.1)	JG.3.1
23F (EG.5.1)	JG.3.2
23F (EG.5.1)	JG.3.3
23F (EG.5.1)	JG.3.4
23F (EG.5.1)	JG.4
23F (EG.5.1)	JJ.1
23F (EG.5.1)	JR.1.1
23F (EG.5.1)	JR.1.1.1
23F (EG.5.1)	KB.1
23F (EG.5.1)	KB.2
23F (EG.5.1)	KB.3
23F (EG.5.1)	KB.4
23F (EG.5.1)	KL.1
23F (EG.5.1)	KL.1.1
23F (EG.5.1)	XCV
23F (EG.5.1)	XDC
23F (EG.5.1)	XDF
23F (EG.5.1)	XDL
23G (XBB.1.5.70)	GK.1
23G (XBB.1.5.70)	GK.10
23G (XBB.1.5.70)	GK.1.1
23G (XBB.1.5.70)	GK.11
23G (XBB.1.5.70)	GK.1.10
23G (XBB.1.5.70)	GK.1.1.1
23G (XBB.1.5.70)	GK.1.11
23G (XBB.1.5.70)	GK.1.11.1
23G (XBB.1.5.70)	GK.1.2
23G (XBB.1.5.70)	GK.12
23G (XBB.1.5.70)	GK.1.2.1
23G (XBB.1.5.70)	GK.1.3
23G (XBB.1.5.70)	GK.1.4
23G (XBB.1.5.70)	GK.1.5
23G (XBB.1.5.70)	GK.1.6
23G (XBB.1.5.70)	GK.1.6.1
23G (XBB.1.5.70)	GK.1.7
23G (XBB.1.5.70)	GK.1.8
23G (XBB.1.5.70)	GK.1.8.1
23G (XBB.1.5.70)	GK.1.9
23G (XBB.1.5.70)	GK.2
23G (XBB.1.5.70)	GK.2.1
23G (XBB.1.5.70)	GK.2.1.1
23G (XBB.1.5.70)	GK.2.2
23G (XBB.1.5.70)	GK.2.3
23G (XBB.1.5.70)	GK.2.4
23G (XBB.1.5.70)	GK.3
23G (XBB.1.5.70)	GK.3.1
23G (XBB.1.5.70)	GK.3.2
23G (XBB.1.5.70)	GK.4
23G (XBB.1.5.70)	GK.5.1
23G (XBB.1.5.70)	GK.6
23G (XBB.1.5.70)	GK.7
23G (XBB.1.5.70)	GK.8
23G (XBB.1.5.70)	GK.8.1
23G (XBB.1.5.70)	XBB.1.5.70
23G (XBB.1.5.70)	XCH
23G (XBB.1.5.70)	XCH.1
23G (XBB.1.5.70)	XCR
23G (XBB.1.5.70)	XCS
23H (HK.3)	HK.26
23H (HK.3)	HK.26.1
23H (HK.3)	HK.3
23H (HK.3)	HK.3.1
23H (HK.3)	HK.3.10
23H (HK.3)	HK.3.11
23H (HK.3)	HK.3.12
23H (HK.3)	HK.3.13
23H (HK.3)	HK.3.14
23H (HK.3)	HK.3.2
23H (HK.3)	HK.3.2.1
23H (HK.3)	HK.3.2.2
23H (HK.3)	HK.3.3
23H (HK.3)	HK.3.4
23H (HK.3)	HK.3.5
23H (HK.3)	HK.3.6
23H (HK.3)	HK.3.7
23H (HK.3)	HK.3.8
23H (HK.3)	HK.3.9
23I (BA.2.86)	BA.2.86
23I (BA.2.86)	BA.2.86.1
23I (BA.2.86)	BA.2.86.2
23I (BA.2.86)	BA.2.86.3
23I (BA.2.86)	BA.2.86.4
23I (BA.2.86)	BA.2.86.5
23I (BA.2.86)	BA.2.86_dropout
23I (BA.2.86)	JN.1
23I (BA.2.86)	JN.10
23I (BA.2.86)	JN.1.1
23I (BA.2.86)	JN.11
23I (BA.2.86)	JN.1.10
23I (BA.2.86)	JN.1.1.1
23I (BA.2.86)	JN.1.11
23I (BA.2.86)	JN.1.11.1
23I (BA.2.86)	JN.1.1.2
23I (BA.2.86)	JN.1.12
23I (BA.2.86)	JN.1.1.3
23I (BA.2.86)	JN.1.2
23I (BA.2.86)	JN.12
23I (BA.2.86)	JN.1.3
23I (BA.2.86)	JN.1.4
23I (BA.2.86)	JN.1.5
23I (BA.2.86)	JN.1.6
23I (BA.2.86)	JN.1.6.1
23I (BA.2.86)	JN.1.7
23I (BA.2.86)	JN.1.8
23I (BA.2.86)	JN.1.8.1
23I (BA.2.86)	JN.1.9
23I (BA.2.86)	JN.2
23I (BA.2.86)	JN.2.1
23I (BA.2.86)	JN.2.2
23I (BA.2.86)	JN.2.3
23I (BA.2.86)	JN.2.4
23I (BA.2.86)	JN.2.5
23I (BA.2.86)	JN.3
23I (BA.2.86)	JN.3.1
23I (BA.2.86)	JN.3.2
23I (BA.2.86)	JN.3.2.1
23I (BA.2.86)	JN.4
23I (BA.2.86)	JN.5
23I (BA.2.86)	JN.5.1
23I (BA.2.86)	JN.6
23I (BA.2.86)	JN.7
23I (BA.2.86)	JN.8
23I (BA.2.86)	JN.9
23I (BA.2.86)	JQ.1
23I (BA.2.86)	XDD
23I (BA.2.86)	XDD.1
23I (BA.2.86)	XDD.1.1
23I (BA.2.86)	XDD.2
23I (BA.2.86)	XDK
23I (BA.2.86)	XDN
23I (BA.2.86)	XDP
